gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,study_hours,family_income,commute_time,absences
female,group B,bachelor's degree,standard,none,72,72,74,6,33085.0,174,3
female,group C,some college,standard,completed,69,90,88,19,10399.0,51,10
female,group B,master's degree,standard,none,90,95,93,14,19256.0,101,2
male,group A,associate's degree,free/reduced,none,47,57,44,10,17678.0,56,4
male,group C,some college,standard,none,76,78,75,7,30384.0,46,7
female,group B,associate's degree,standard,none,71,83,78,20,48163.0,158,6
female,group B,some college,standard,completed,88,95,92,6,40235.0,173,7
male,group B,some college,free/reduced,none,40,43,39,18,30829.0,25,5
male,group D,high school,free/reduced,completed,64,64,67,10,16076.0,113,7
female,group B,high school,free/reduced,none,38,60,50,10,20096.0,4,1
male,group C,associate's degree,standard,none,58,54,52,20,18683.0,83,6
male,group D,associate's degree,standard,none,40,52,43,3,17411.0,51,5
female,group B,high school,standard,none,65,81,73,7,18012.0,104,15
male,group A,some college,standard,completed,78,72,70,2,17773.0,53,6
female,group A,master's degree,standard,none,50,53,58,20,17384.0,160,3
female,group C,some high school,standard,none,69,75,78,1,35452.0,177,2
male,group C,high school,standard,none,88,89,86,11,13000.0,165,5
female,group B,some high school,free/reduced,none,18,32,28,5,15295.0,154,7
male,group C,master's degree,free/reduced,completed,46,42,46,1,9980.0,14,3
female,group C,associate's degree,free/reduced,none,54,58,61,20,44701.0,60,3
male,group D,high school,standard,none,66,69,63,0,14791.0,121,4
female,group B,some college,free/reduced,completed,65,75,70,11,30650.0,20,2
male,group D,some college,standard,none,44,54,53,11,27936.0,45,3
female,group C,some high school,standard,none,69,73,73,16,42592.0,133,5
male,group D,bachelor's degree,free/reduced,completed,74,71,80,9,19831.0,37,7
male,group A,master's degree,free/reduced,none,73,74,72,15,13715.0,61,5
male,group B,some college,standard,none,69,54,55,14,10119.0,85,7
female,group C,bachelor's degree,standard,none,67,69,75,14,5474.0,77,2
male,group C,high school,standard,none,70,70,65,18,23877.0,45,6
female,group D,master's degree,standard,none,62,70,75,11,32459.0,140,4
female,group D,some college,standard,none,69,74,74,19,27885.0,2,2
female,group B,some college,standard,none,63,65,61,2,10251.0,5,6
female,group E,master's degree,free/reduced,none,56,72,65,4,37027.0,92,3
male,group D,some college,standard,none,40,42,38,18,15536.0,7,3
male,group E,some college,standard,none,97,87,82,6,13996.0,171,4
male,group E,associate's degree,standard,completed,81,81,79,20,15362.0,107,4
female,group D,associate's degree,standard,none,74,81,83,8,22907.0,160,5
female,group D,some high school,free/reduced,none,50,64,59,6,10484.0,74,4
female,group D,associate's degree,free/reduced,completed,75,90,88,17,21622.0,76,6
male,group B,associate's degree,free/reduced,none,57,56,57,3,27302.0,49,4
male,group C,associate's degree,free/reduced,none,55,61,54,13,38317.0,10,7
female,group C,associate's degree,standard,none,58,73,68,17,24052.0,94,9
female,group B,associate's degree,standard,none,53,58,65,8,11273.0,155,3
male,group B,some college,free/reduced,completed,59,65,66,20,23729.0,69,4
female,group E,associate's degree,free/reduced,none,50,56,54,1,12963.0,168,3
male,group B,associate's degree,standard,none,65,54,57,19,12595.0,15,4
female,group A,associate's degree,standard,completed,55,65,62,14,11144.0,67,5
female,group C,high school,standard,none,66,71,76,6,8471.0,98,2
female,group D,associate's degree,free/reduced,completed,57,74,76,11,16588.0,47,5
male,group C,high school,standard,completed,82,84,82,7,38733.0,63,10
male,group E,some college,standard,none,53,55,48,14,68067.0,89,5
male,group E,associate's degree,free/reduced,completed,77,69,68,2,16535.0,75,5
male,group C,some college,standard,none,53,44,42,13,37913.0,138,7
male,group D,high school,standard,none,88,78,75,16,18083.0,100,5
female,group C,some high school,free/reduced,completed,71,84,87,3,9649.0,88,7
female,group C,high school,free/reduced,none,33,41,43,17,31272.0,17,3
female,group E,associate's degree,standard,completed,82,85,86,7,24770.0,18,3
male,group D,associate's degree,standard,none,52,55,49,3,54667.0,54,6
male,group D,some college,standard,completed,58,59,58,1,10226.0,101,4
female,group C,some high school,free/reduced,none,0,17,10,5,89145.0,117,4
male,group E,bachelor's degree,free/reduced,completed,79,74,72,9,48818.0,153,2
male,group A,some high school,free/reduced,none,39,39,34,3,21830.0,133,2
male,group A,associate's degree,free/reduced,none,62,61,55,17,18971.0,3,3
female,group C,associate's degree,standard,none,69,80,71,11,15400.0,107,4
female,group D,some high school,standard,none,59,58,59,1,23269.0,114,6
male,group B,some high school,standard,none,67,64,61,9,20091.0,28,4
male,group D,some high school,free/reduced,none,45,37,37,3,28478.0,58,5
female,group C,some college,standard,none,60,72,74,13,19012.0,124,4
male,group B,associate's degree,free/reduced,none,61,58,56,15,44689.0,97,5
female,group C,associate's degree,standard,none,39,64,57,14,23448.0,16,8
female,group D,some college,free/reduced,completed,58,63,73,7,19372.0,106,4
male,group D,some college,standard,completed,63,55,63,13,36759.0,42,2
female,group A,associate's degree,free/reduced,none,41,51,48,7,9786.0,79,2
male,group C,some high school,free/reduced,none,61,57,56,20,26121.0,161,3
male,group C,some high school,standard,none,49,49,41,15,22310.0,7,6
male,group B,associate's degree,free/reduced,none,44,41,38,12,10879.0,140,4
male,group E,some high school,standard,none,30,26,22,17,9374.0,105,3
male,group A,bachelor's degree,standard,completed,80,78,81,14,36504.0,7,4
female,group D,some high school,standard,completed,61,74,72,20,35646.0,95,3
female,group E,master's degree,standard,none,62,68,68,12,24011.0,93,8
female,group B,associate's degree,standard,none,47,49,50,8,51965.0,64,4
male,group B,high school,free/reduced,none,49,45,45,14,27460.0,170,8
male,group A,some college,free/reduced,completed,50,47,54,12,41147.0,38,4
male,group E,associate's degree,standard,none,72,64,63,0,27178.0,80,4
male,group D,high school,free/reduced,none,42,39,34,6,19189.0,83,1
female,group C,some college,standard,none,73,80,82,8,12981.0,87,3
female,group C,some college,free/reduced,none,76,83,88,0,16290.0,85,8
female,group D,associate's degree,standard,none,71,71,74,11,19369.0,92,6
female,group A,some college,standard,none,58,70,67,7,43546.0,85,6
female,group D,some high school,standard,none,73,86,82,10,32369.0,43,9
female,group C,bachelor's degree,standard,none,65,72,74,18,25982.0,136,4
male,group C,high school,free/reduced,none,27,34,36,16,34030.0,164,3
male,group C,high school,standard,none,71,79,71,7,28672.0,73,8
male,group C,associate's degree,free/reduced,completed,43,45,50,2,25109.0,35,3
female,group B,some college,standard,none,79,86,92,2,10412.0,100,2
male,group C,associate's degree,free/reduced,completed,78,81,82,0,38932.0,155,2
male,group B,some high school,standard,completed,65,66,62,4,17514.0,169,7
female,group E,some college,standard,completed,63,72,70,9,37959.0,170,5
female,group D,some college,free/reduced,none,58,67,62,6,39839.0,169,6
female,group D,bachelor's degree,standard,none,65,67,62,8,15756.0,103,5
male,group B,some college,standard,none,79,67,67,6,35414.0,65,9
male,group D,bachelor's degree,standard,completed,68,74,74,8,18389.0,54,4
female,group D,associate's degree,standard,none,85,91,89,7,18444.0,175,5
male,group B,high school,standard,completed,60,44,47,11,25053.0,90,7
male,group C,some college,standard,completed,98,86,90,1,25393.0,21,3
female,group C,some college,standard,none,58,67,72,0,22455.0,100,8
female,group D,master's degree,standard,none,87,100,100,15,11303.0,154,5
male,group E,associate's degree,standard,completed,66,63,64,4,20729.0,120,5
female,group B,associate's degree,free/reduced,none,52,76,70,2,68819.0,92,2
female,group B,some high school,standard,none,70,64,72,11,5475.0,107,8
female,group D,associate's degree,free/reduced,completed,77,89,98,7,34026.0,140,9
male,group C,high school,standard,none,62,55,49,2,37368.0,172,3
male,group A,associate's degree,standard,none,54,53,47,0,11168.0,9,4
female,group D,some college,standard,none,51,58,54,2,17418.0,8,4
female,group E,bachelor's degree,standard,completed,99,100,100,4,13355.0,154,4
male,group C,high school,standard,none,84,77,74,14,55658.0,33,9
female,group B,bachelor's degree,free/reduced,none,75,85,82,13,38235.0,128,5
female,group D,bachelor's degree,standard,none,78,82,79,2,39172.0,159,6
female,group D,some high school,standard,none,51,63,61,0,23396.0,88,7
female,group C,some college,standard,none,55,69,65,4,42448.0,92,11
female,group C,bachelor's degree,standard,completed,79,92,89,13,21936.0,70,10
male,group B,associate's degree,standard,completed,91,89,92,6,43459.0,66,7
female,group C,some college,standard,completed,88,93,93,8,20448.0,147,4
male,group D,high school,free/reduced,none,63,57,56,14,15684.0,116,5
male,group E,some college,standard,none,83,80,73,14,54474.0,93,4
female,group B,high school,standard,none,87,95,86,9,21798.0,162,5
male,group B,some high school,standard,none,72,68,67,12,14053.0,98,6
male,group D,some college,standard,completed,65,77,74,18,13977.0,112,6
male,group D,master's degree,standard,none,82,82,74,6,13999.0,102,0
female,group A,bachelor's degree,standard,none,51,49,51,16,33598.0,90,4
male,group D,master's degree,standard,none,89,84,82,19,20964.0,89,4
male,group C,some high school,free/reduced,completed,53,37,40,3,69493.0,16,7
male,group E,some college,free/reduced,completed,87,74,70,4,39858.0,17,9
female,group C,some college,standard,completed,75,81,84,6,25048.0,172,3
male,group D,bachelor's degree,free/reduced,completed,74,79,75,12,44442.0,115,3
male,group C,bachelor's degree,standard,none,58,55,48,14,17193.0,92,4
male,group B,some high school,standard,completed,51,54,41,10,8713.0,180,3
male,group E,high school,standard,none,70,55,56,3,13429.0,90,5
female,group C,associate's degree,standard,none,59,66,67,12,23709.0,81,7
male,group D,some college,standard,completed,71,61,69,6,19707.0,67,2
female,group D,some high school,standard,none,76,72,71,18,33263.0,113,8
female,group C,some college,free/reduced,none,59,62,64,1,20696.0,0,5
female,group E,some college,free/reduced,completed,42,55,54,9,32017.0,57,6
male,group A,high school,standard,none,57,43,47,12,46653.0,153,4
male,group D,some college,standard,none,88,73,78,20,20664.0,108,5
female,group C,some college,free/reduced,none,22,39,33,5,29073.0,147,9
male,group B,some high school,standard,none,88,84,75,11,9160.0,115,3
male,group C,associate's degree,free/reduced,none,73,68,66,11,20703.0,86,4
female,group D,bachelor's degree,standard,completed,68,75,81,19,11897.0,9,5
male,group E,associate's degree,free/reduced,completed,100,100,93,10,23685.0,58,4
male,group A,some high school,standard,completed,62,67,69,6,24785.0,40,3
male,group A,bachelor's degree,standard,none,77,67,68,0,24744.0,104,9
female,group B,associate's degree,standard,completed,59,70,66,0,17326.0,132,4
male,group D,bachelor's degree,standard,none,54,49,47,19,69511.0,121,5
male,group D,some high school,standard,none,62,67,61,12,11684.0,144,4
female,group C,some college,standard,completed,70,89,88,8,11332.0,21,5
female,group E,high school,free/reduced,completed,66,74,78,2,50387.0,97,5
male,group B,some college,free/reduced,none,60,60,60,6,15489.0,168,9
female,group B,associate's degree,standard,completed,61,86,87,5,13734.0,67,5
